app_name,status,source,output,seconds,detail,command
machsuite-gemm-blocked,failed,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-gemm-blocked/gemm.c,/home/elvouvali/MailoHLS/MLIR_graphs_v4/machsuite-gemm-blocked.gexf,0.680,exit=2; log=/home/elvouvali/MailoHLS/MLIR_graphs_v4/logs/machsuite-gemm-blocked.log,/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-gemm-blocked/gemm.c --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.machsuite-gemm-blocked.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.machsuite-gemm-blocked.mlir.tmp
machsuite-gemm-ncubed,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-gemm-ncubed/gemm.c,/home/elvouvali/MailoHLS/MLIR_graphs_v4/machsuite-gemm-ncubed.gexf,1.329,"56 nodes, 203 edges, 3 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-gemm-ncubed/gemm.c --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.machsuite-gemm-ncubed.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.machsuite-gemm-ncubed.mlir.tmp
machsuite-md-knn,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-md-knn/md.c,/home/elvouvali/MailoHLS/MLIR_graphs_v4/machsuite-md-knn.gexf,1.338,"138 nodes, 597 edges, 2 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-md-knn/md.c --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.machsuite-md-knn.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.machsuite-md-knn.mlir.tmp
machsuite-sort-radix,failed,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-sort-radix/sort.c,/home/elvouvali/MailoHLS/MLIR_graphs_v4/machsuite-sort-radix.gexf,0.643,exit=2; log=/home/elvouvali/MailoHLS/MLIR_graphs_v4/logs/machsuite-sort-radix.log,/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-sort-radix/sort.c --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.machsuite-sort-radix.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.machsuite-sort-radix.mlir.tmp
machsuite-spmv-ellpack,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-spmv-ellpack/spmv.c,/home/elvouvali/MailoHLS/MLIR_graphs_v4/machsuite-spmv-ellpack.gexf,1.261,"58 nodes, 216 edges, 2 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-spmv-ellpack/spmv.c --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.machsuite-spmv-ellpack.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.machsuite-spmv-ellpack.mlir.tmp
machsuite-stencil2d,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-stencil2d/stencil.c,/home/elvouvali/MailoHLS/MLIR_graphs_v4/machsuite-stencil2d.gexf,1.226,"65 nodes, 239 edges, 4 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-stencil2d/stencil.c --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.machsuite-stencil2d.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.machsuite-stencil2d.mlir.tmp
machsuite-stencil3d,failed,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-stencil3d/stencil.c,/home/elvouvali/MailoHLS/MLIR_graphs_v4/machsuite-stencil3d.gexf,0.532,exit=2; log=/home/elvouvali/MailoHLS/MLIR_graphs_v4/logs/machsuite-stencil3d.log,/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-stencil3d/stencil.c --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.machsuite-stencil3d.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.machsuite-stencil3d.mlir.tmp
machsuite-viterbi,generated,/home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-viterbi/viterbi.c,/home/elvouvali/MailoHLS/MLIR_graphs_v4/machsuite-viterbi.gexf,1.491,"251 nodes, 1059 edges, 8 actions",/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/machsuite-viterbi/viterbi.c --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.machsuite-viterbi.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.machsuite-viterbi.mlir.tmp
rodinia-backprop-0-baseline-back,failed,/home/elvouvali/MailoHLS/Data/ApplicationDataset/rodinia-backprop-0-baseline-back/backprop_kernel.cpp,/home/elvouvali/MailoHLS/MLIR_graphs_v4/rodinia-backprop-0-baseline-back.gexf,0.767,exit=2; log=/home/elvouvali/MailoHLS/MLIR_graphs_v4/logs/rodinia-backprop-0-baseline-back.log,/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/rodinia-backprop-0-baseline-back/backprop_kernel.cpp --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.rodinia-backprop-0-baseline-back.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.rodinia-backprop-0-baseline-back.mlir.tmp
rodinia-backprop-0-baseline-forward,failed,/home/elvouvali/MailoHLS/Data/ApplicationDataset/rodinia-backprop-0-baseline-forward/backprop_kernel.cpp,/home/elvouvali/MailoHLS/MLIR_graphs_v4/rodinia-backprop-0-baseline-forward.gexf,0.768,exit=2; log=/home/elvouvali/MailoHLS/MLIR_graphs_v4/logs/rodinia-backprop-0-baseline-forward.log,/home/elvouvali/.mlir-python311/bin/python /home/elvouvali/MailoHLS/GNN_branch/mlir_graph_gen.py /home/elvouvali/MailoHLS/Data/ApplicationDataset/rodinia-backprop-0-baseline-forward/backprop_kernel.cpp --output /home/elvouvali/MailoHLS/MLIR_graphs_v4/.rodinia-backprop-0-baseline-forward.gexf.tmp --cgeist /home/elvouvali/tools/Polygeist/build-mailohls-assertions/bin/cgeist --mlir-output /home/elvouvali/MailoHLS/MLIR_graphs_v4/audit_mlir/.rodinia-backprop-0-baseline-forward.mlir.tmp
