Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Area,Weight,is_pareto
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,83.14654,1448,2,2,20,36,block_2_2,block_2_2,cyclic_4_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,15.0,0.7954720534888543,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,894.1379,1097,3,2,16,39,block_16_1,block_2_1,block_32_1,block_4_1,complete_2,cyclic_2_1,unroll_2,pipeline,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_16,unroll_2,15.0,0.3876136925999464,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,83.14574,2015,2,2,20,39,block_2_2,block_2_2,cyclic_4_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_64,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,15.75,0.7813342074278042,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,83.9027,2718,2,2,33,58,block_2_1,block_2_2,cyclic_4_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_32,unroll_4,unroll_4,unroll_64,unroll_16,unroll_4,pipeline,23.75,0.6245189741548564,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,83.22246,295,3,2,19,28,complete_2,block_2_2,cyclic_2_2,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_4,unroll_2,unroll_4,pipeline,13.0,0.833842238514617,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,83.1747,434,1,2,27,42,cyclic_2_2,block_2_2,cyclic_8_1,complete_1,block_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_4,pipeline_1,unroll_4,pipeline,18.0,0.7397756070049756,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,798.6819,414,3,2,6,16,block_2_2,block_2_1,block_32_1,block_4_1,complete_2,cyclic_2_1,unroll_2,pipeline,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_4,unroll_2,6.75,0.5705096045728761,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,83.16958,716,1,2,20,35,cyclic_2_2,block_2_2,cyclic_8_1,block_4_1,block_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_64,unroll_4,pipeline_1,unroll_4,pipeline,14.5,0.8049657800628494,False
workload_181.cpp,xczu7ev-ffvc1156-2-e,10.0,410.0071,1463,4,3,11,33,cyclic_32_1,cyclic_8_1,cyclic_4_1,block_32_1,complete_2,block_2_1,unroll_2,unroll_8,unroll_4,pipeline_1,pipeline,unroll_64,unroll_4,unroll_8,12.75,0.6213845283624561,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10.0,83.2224,713,3,2,37,54,complete_2,block_2_2,cyclic_2_2,block_32_1,cyclic_8_1,cyclic_2_1,unroll_4,unroll_16,unroll_4,unroll_8,unroll_4,unroll_2,unroll_4,pipeline,24.0,0.6163765139939955,False
