Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,Area,Weight,is_pareto
Example1_Pipelined_0.cpp,xczu7ev-ffvc1156-2-e,10.0,23.68003,80,1,1,1,1,unroll_16,1.0,0.6493208280961247,False
Example1_Pipelined_1.cpp,xczu7ev-ffvc1156-2-e,10.0,71.68002,80,1,1,1,1,unroll_2,1.0,0.10000000000000003,False
Example1_Pipelined_2.cpp,xczu7ev-ffvc1156-2-e,10.0,10.24028,80,1,1,1,1,pipeline_1,1.0,1.0,True
Example1_Pipelined_3.cpp,xczu7ev-ffvc1156-2-e,10.0,13.60003,80,1,1,1,1,unroll_64,1.0,0.9042606807882437,False
Example1_Pipelined_4.cpp,xczu7ev-ffvc1156-2-e,10.0,37.12003,80,1,1,1,1,unroll_8,1.0,0.38476787255957956,False
Example1_Pipelined_5.cpp,xczu7ev-ffvc1156-2-e,10.0,10.24028,34,1,1,1,1,pipeline,1.0,1.0,True
Example1_Pipelined_6.cpp,xczu7ev-ffvc1156-2-e,10.0,64.00003,34,1,1,1,1,unroll_4,1.0,0.11406258338230782,False
Example1_Pipelined_7.cpp,xczu7ev-ffvc1156-2-e,10.0,16.96003,36,1,1,1,1,unroll_32,1.0,0.8138973836013745,False
Example1_Pipelined_8.cpp,xczu7ev-ffvc1156-2-e,5.0,61.43996,36,1,1,1,1,unroll_2,1.0,0.10000000000000003,False
Example1_Pipelined_9.cpp,xczu7ev-ffvc1156-2-e,5.0,31.359965,37,1,1,1,1,unroll_8,1.0,0.3567298030129503,False
Example1_Pipelined_10.cpp,xczu7ev-ffvc1156-2-e,5.0,18.239965,37,1,1,1,1,unroll_16,1.0,0.6295270604019915,False
Example1_Pipelined_11.cpp,xczu7ev-ffvc1156-2-e,5.0,5.12019,39,1,1,1,1,pipeline_1,1.0,1.0,True
Example1_Pipelined_12.cpp,xczu7ev-ffvc1156-2-e,5.0,8.399965,45,1,1,1,1,unroll_64,1.0,0.8982293890493904,False
Example1_Pipelined_13.cpp,xczu7ev-ffvc1156-2-e,5.0,57.599965,36,1,1,1,1,unroll_4,1.0,0.10418390814626552,False
Example1_Pipelined_14.cpp,xczu7ev-ffvc1156-2-e,5.0,5.12019,37,1,1,1,1,pipeline,1.0,1.0,True
Example1_Pipelined_15.cpp,xczu7ev-ffvc1156-2-e,5.0,11.679965,41,1,1,1,1,unroll_32,1.0,0.8025567665854368,False
Example1_Pipelined_16.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,45,1,1,1,1,unroll_4,1.0,1.0,True
Example1_Pipelined_17.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,46,1,1,1,1,unroll_64,1.0,1.0,True
Example1_Pipelined_18.cpp,xczu7ev-ffvc1156-2-e,3.33,1.70505324,46,1,1,1,1,unroll_2,1.0,0.32500000225000003,False
Example1_Pipelined_19.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,46,1,1,1,1,unroll_8,1.0,1.0,True
Example1_Pipelined_20.cpp,xczu7ev-ffvc1156-2-e,3.33,3.41001324,46,1,1,1,1,pipeline,1.0,0.10000000000000003,False
Example1_Pipelined_21.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,46,1,1,1,1,unroll_16,1.0,1.0,True
Example1_Pipelined_22.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,46,1,1,1,1,unroll_32,1.0,1.0,True
Example1_Pipelined_23.cpp,xczu7ev-ffvc1156-2-e,3.33,3.41001324,47,1,1,1,1,pipeline_1,1.0,0.10000000000000003,False
Example1_Pipelined_24.cpp,xcu200-fsgd2104-2-e,10.0,29.44006,36,1,1,1,1,unroll_8,1.0,0.40625243275842415,False
Example1_Pipelined_25.cpp,xcu200-fsgd2104-2-e,10.0,10.24025,36,1,1,1,1,pipeline_1,1.0,1.0,True
Example1_Pipelined_26.cpp,xcu200-fsgd2104-2-e,10.0,19.84006,37,1,1,1,1,unroll_16,1.0,0.66406708864467,False
Example1_Pipelined_27.cpp,xcu200-fsgd2104-2-e,10.0,56.32005,38,1,1,1,1,unroll_2,1.0,0.10000000000000003,False
Example1_Pipelined_28.cpp,xcu200-fsgd2104-2-e,10.0,12.64006,39,1,1,1,1,unroll_64,1.0,0.9086980563475667,False
Example1_Pipelined_29.cpp,xcu200-fsgd2104-2-e,10.0,10.24025,34,1,1,1,1,pipeline,1.0,1.0,True
Example1_Pipelined_30.cpp,xcu200-fsgd2104-2-e,10.0,48.64006,36,1,1,1,1,unroll_4,1.0,0.12500015316061538,False
Example1_Pipelined_31.cpp,xcu200-fsgd2104-2-e,10.0,15.04006,38,1,1,1,1,unroll_32,1.0,0.8222715456096286,False
Example1_Pipelined_32.cpp,xcu200-fsgd2104-2-e,5.0,5.120155,35,1,1,1,1,pipeline_1,1.0,1.0,True
Example1_Pipelined_33.cpp,xcu200-fsgd2104-2-e,5.0,13.76,36,1,1,1,1,unroll_16,1.0,0.6405668246428906,False
Example1_Pipelined_34.cpp,xcu200-fsgd2104-2-e,5.0,22.4,36,1,1,1,1,unroll_8,1.0,0.37225214208436896,False
Example1_Pipelined_35.cpp,xcu200-fsgd2104-2-e,5.0,43.519995,38,1,1,1,1,unroll_2,1.0,0.10000000000000003,False
Example1_Pipelined_36.cpp,xcu200-fsgd2104-2-e,5.0,7.28,44,1,1,1,1,unroll_64,1.0,0.9016041155567277,False
Example1_Pipelined_37.cpp,xcu200-fsgd2104-2-e,5.0,5.120155,34,1,1,1,1,pipeline,1.0,1.0,True
Example1_Pipelined_38.cpp,xcu200-fsgd2104-2-e,5.0,39.68,35,1,1,1,1,unroll_4,1.0,0.10900005237279078,False
Example1_Pipelined_39.cpp,xcu200-fsgd2104-2-e,5.0,9.44,39,1,1,1,1,unroll_32,1.0,0.8088963253478348,False
Example1_Pipelined_40.cpp,xcu200-fsgd2104-2-e,3.33,10.86910668,36,1,1,1,1,unroll_16,1.0,0.633249569920341,False
Example1_Pipelined_41.cpp,xcu200-fsgd2104-2-e,3.33,3.4100365500000005,37,1,1,1,1,pipeline_1,1.0,1.0,True
Example1_Pipelined_42.cpp,xcu200-fsgd2104-2-e,3.33,18.32830668,37,1,1,1,1,unroll_8,1.0,0.36193072680685334,False
Example1_Pipelined_43.cpp,xcu200-fsgd2104-2-e,3.33,35.804143350000004,38,1,1,1,1,unroll_2,1.0,0.10000000000000003,False
Example1_Pipelined_44.cpp,xcu200-fsgd2104-2-e,3.33,5.27470668,41,1,1,1,1,unroll_64,1.0,0.8993704169165979,False
Example1_Pipelined_45.cpp,xcu200-fsgd2104-2-e,3.33,33.24670668,34,1,1,1,1,unroll_4,1.0,0.10560945045938067,False
Example1_Pipelined_46.cpp,xcu200-fsgd2104-2-e,3.33,3.4100365500000005,36,1,1,1,1,pipeline,1.0,1.0,True
Example1_Pipelined_47.cpp,xcu200-fsgd2104-2-e,3.33,7.139506679999999,39,1,1,1,1,unroll_32,1.0,0.8046985427120227,False
