Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
InitiationInterval_43.cpp,xcu200-fsgd2104-2-e,3.33,3.40995996,33.5,1,1,1,1,pipeline_1,2,1,0.1,False
InitiationInterval_40.cpp,xcu200-fsgd2104-2-e,3.33,0.21312333,31,1,1,1,1,unroll_16,1,1,0.916327421435,False
InitiationInterval_42.cpp,xcu200-fsgd2104-2-e,3.33,1.70499663,34,1,1,1,1,unroll_2,1,1,0.332195385732,False
InitiationInterval_45.cpp,xcu200-fsgd2104-2-e,3.33,0.10656333,31,1,1,1,1,unroll_32,1,1,0.971655635637,False
InitiationInterval_47.cpp,xcu200-fsgd2104-2-e,3.33,0.85251663,33,1,1,1,1,unroll_4,1,1,0.622438937638,False
InitiationInterval_44.cpp,xcu200-fsgd2104-2-e,3.33,0.05328333,35,1,1,1,1,unroll_64,1,1,1,True
InitiationInterval_41.cpp,xcu200-fsgd2104-2-e,3.33,0.42624333,31,1,1,1,1,unroll_8,1,1,0.811113051127,False
InitiationInterval_34.cpp,xcu200-fsgd2104-2-e,5,5.12005,33.5,1,1,1,1,pipeline_1,2,1,0.1,False
InitiationInterval_33.cpp,xcu200-fsgd2104-2-e,5,0.320005,31,1,1,1,1,unroll_16,1,1,0.916327259469,False
InitiationInterval_35.cpp,xcu200-fsgd2104-2-e,5,2.560045,33,1,1,1,1,unroll_2,1,1,0.332196307135,False
InitiationInterval_37.cpp,xcu200-fsgd2104-2-e,5,0.160005,32,1,1,1,1,unroll_32,1,1,0.971655579849,False
InitiationInterval_39.cpp,xcu200-fsgd2104-2-e,5,1.280045,34,1,1,1,1,unroll_4,1,1,0.622441010792,False
InitiationInterval_36.cpp,xcu200-fsgd2104-2-e,5,0.080005,34,1,1,1,1,unroll_64,1,1,1,True
InitiationInterval_32.cpp,xcu200-fsgd2104-2-e,5,0.640005,30,1,1,1,1,unroll_8,1,1,0.8111126984,False
InitiationInterval_26.cpp,xcu200-fsgd2104-2-e,10,10.24006,33,1,1,1,1,pipeline_1,2,1,0.1,False
InitiationInterval_24.cpp,xcu200-fsgd2104-2-e,10,0.64001,31,1,1,1,1,unroll_16,1,1,0.916326935534,False
InitiationInterval_27.cpp,xcu200-fsgd2104-2-e,10,5.12005,33,1,1,1,1,unroll_2,1,1,0.332198149957,False
InitiationInterval_29.cpp,xcu200-fsgd2104-2-e,10,0.32001,33,1,1,1,1,unroll_32,1,1,0.971655468271,False
InitiationInterval_31.cpp,xcu200-fsgd2104-2-e,10,2.56005,34,1,1,1,1,unroll_4,1,1,0.622445157137,False
InitiationInterval_28.cpp,xcu200-fsgd2104-2-e,10,0.16001,34,1,1,1,1,unroll_64,1,1,1,True
InitiationInterval_25.cpp,xcu200-fsgd2104-2-e,10,1.28001,31,1,1,1,1,unroll_8,1,1,0.811111992941,False
InitiationInterval_20.cpp,xczu7ev-ffvc1156-2-e,3.33,3.40998327,41.5,1,1,1,1,pipeline_1,2,1,0.1,False
InitiationInterval_16.cpp,xczu7ev-ffvc1156-2-e,3.33,0.21312333,36,1,1,1,1,unroll_16,1,1,0.916327988313,False
InitiationInterval_23.cpp,xczu7ev-ffvc1156-2-e,3.33,1.70501994,42,1,1,1,1,unroll_2,1,1,0.332192160865,False
InitiationInterval_17.cpp,xczu7ev-ffvc1156-2-e,3.33,0.10656333,37,1,1,1,1,unroll_32,1,1,0.971655830895,False
InitiationInterval_21.cpp,xczu7ev-ffvc1156-2-e,3.33,0.85253994,41,1,1,1,1,unroll_4,1,1,0.622431681696,False
InitiationInterval_19.cpp,xczu7ev-ffvc1156-2-e,3.33,0.05328333,38,1,1,1,1,unroll_64,1,1,1,True
InitiationInterval_18.cpp,xczu7ev-ffvc1156-2-e,3.33,0.42624333,37,1,1,1,1,unroll_8,1,1,0.811114285661,False
